,chA,chB,pA,pB,d,score
113,ADC,ADC,0.8,0.4,fidelity,0.6871961506414369
114,ADC,ADC,0.8,0.4,affinity,0.8199667854367831
115,ADC,ADC,0.8,0.4,wooters_distance,0.5928916809167172
116,ADC,ADC,0.8,0.30000000000000004,trace_distance,0.33313018830187885
117,ADC,ADC,0.8,0.30000000000000004,fidelity,0.6892240409160705
118,ADC,ADC,0.8,0.30000000000000004,affinity,0.8254132918831133
119,ADC,ADC,0.8,0.30000000000000004,wooters_distance,0.5912844911983673
120,ADC,ADC,0.8,0.2,trace_distance,0.32661903290454614
121,ADC,ADC,0.8,0.2,fidelity,0.6846905786712587
122,ADC,ADC,0.8,0.2,affinity,0.824979878631594
123,ADC,ADC,0.8,0.2,wooters_distance,0.5955990576899174
124,ADC,ADC,0.8,0.1,trace_distance,0.3159640234624208
125,ADC,ADC,0.8,0.1,fidelity,0.6871962822802882
126,ADC,ADC,0.8,0.1,affinity,0.8275022602518614
127,ADC,ADC,0.8,0.1,wooters_distance,0.591071585183548
128,ADC,ADC,0.8,0.0,trace_distance,0.3175424461841981
129,ADC,ADC,0.8,0.0,fidelity,0.6833864069994866
130,ADC,ADC,0.8,0.0,affinity,0.8246667948082028
131,ADC,ADC,0.8,0.0,wooters_distance,0.5869408350071225
132,ADC,ADC,0.7000000000000001,1.0,trace_distance,0.5259116199727871
133,ADC,ADC,0.7000000000000001,1.0,fidelity,0.616006869588584
134,ADC,ADC,0.7000000000000001,1.0,affinity,0.6160068695885837
135,ADC,ADC,0.7000000000000001,1.0,wooters_distance,0.6031408898844283
136,ADC,ADC,0.7000000000000001,0.9,trace_distance,0.46572603283456226
137,ADC,ADC,0.7000000000000001,0.9,fidelity,0.6669514551867518
138,ADC,ADC,0.7000000000000001,0.9,affinity,0.7349432912001101
139,ADC,ADC,0.7000000000000001,0.9,wooters_distance,0.5869828428175253
140,ADC,ADC,0.7000000000000001,0.8,trace_distance,0.4296786260660885
141,ADC,ADC,0.7000000000000001,0.8,fidelity,0.6865010705277381
142,ADC,ADC,0.7000000000000001,0.8,affinity,0.7745552342652523
143,ADC,ADC,0.7000000000000001,0.8,wooters_distance,0.5772825568401206
144,ADC,ADC,0.7000000000000001,0.7000000000000001,trace_distance,0.39859491128379304
145,ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.6977097025449472
146,ADC,ADC,0.7000000000000001,0.7000000000000001,affinity,0.7992695879449577
147,ADC,ADC,0.7000000000000001,0.7000000000000001,wooters_distance,0.5718420409379548
148,ADC,ADC,0.7000000000000001,0.6000000000000001,trace_distance,0.37684539482951646
149,ADC,ADC,0.7000000000000001,0.6000000000000001,fidelity,0.7030047264051954
150,ADC,ADC,0.7000000000000001,0.6000000000000001,affinity,0.8137122897152859
151,ADC,ADC,0.7000000000000001,0.6000000000000001,wooters_distance,0.5714284572409327
152,ADC,ADC,0.7000000000000001,0.5,trace_distance,0.3491246381115129
153,ADC,ADC,0.7000000000000001,0.5,fidelity,0.7104765556606304
154,ADC,ADC,0.7000000000000001,0.5,affinity,0.827510768284693
155,ADC,ADC,0.7000000000000001,0.5,wooters_distance,0.5660029657735218
156,ADC,ADC,0.7000000000000001,0.4,trace_distance,0.3235231893333375
157,ADC,ADC,0.7000000000000001,0.4,fidelity,0.7187725069908364
158,ADC,ADC,0.7000000000000001,0.4,affinity,0.8387069970292719
159,ADC,ADC,0.7000000000000001,0.4,wooters_distance,0.5583992518648104
160,ADC,ADC,0.7000000000000001,0.30000000000000004,trace_distance,0.3070433999850288
161,ADC,ADC,0.7000000000000001,0.30000000000000004,fidelity,0.7189738536343112
162,ADC,ADC,0.7000000000000001,0.30000000000000004,affinity,0.8429742021521869
163,ADC,ADC,0.7000000000000001,0.30000000000000004,wooters_distance,0.5586606805151264
164,ADC,ADC,0.7000000000000001,0.2,trace_distance,0.2854824622088754
165,ADC,ADC,0.7000000000000001,0.2,fidelity,0.7275398821376449
166,ADC,ADC,0.7000000000000001,0.2,affinity,0.850487122066422
167,ADC,ADC,0.7000000000000001,0.2,wooters_distance,0.5481875263990132
168,ADC,ADC,0.7000000000000001,0.1,trace_distance,0.27372401740462826
169,ADC,ADC,0.7000000000000001,0.1,fidelity,0.7308670915833676
170,ADC,ADC,0.7000000000000001,0.1,affinity,0.8532175731865573
171,ADC,ADC,0.7000000000000001,0.1,wooters_distance,0.5416025485325059
172,ADC,ADC,0.7000000000000001,0.0,trace_distance,0.2715200197394428
173,ADC,ADC,0.7000000000000001,0.0,fidelity,0.7295673607023513
174,ADC,ADC,0.7000000000000001,0.0,affinity,0.8519506759461883
175,ADC,ADC,0.7000000000000001,0.0,wooters_distance,0.5310950994030331
176,ADC,ADC,0.6000000000000001,1.0,trace_distance,0.5433090839754495
177,ADC,ADC,0.6000000000000001,1.0,fidelity,0.5972070914721962
178,ADC,ADC,0.6000000000000001,1.0,affinity,0.597207091472196
179,ADC,ADC,0.6000000000000001,1.0,wooters_distance,0.6312036582991177
180,ADC,ADC,0.6000000000000001,0.9,trace_distance,0.47157836179563234
181,ADC,ADC,0.6000000000000001,0.9,fidelity,0.6635776345017885
182,ADC,ADC,0.6000000000000001,0.9,affinity,0.7318627024790493
183,ADC,ADC,0.6000000000000001,0.9,wooters_distance,0.5915033738626795
184,ADC,ADC,0.6000000000000001,0.8,trace_distance,0.4289894174680969
185,ADC,ADC,0.6000000000000001,0.8,fidelity,0.6912449882438375
186,ADC,ADC,0.6000000000000001,0.8,affinity,0.7770181396690284
187,ADC,ADC,0.6000000000000001,0.8,wooters_distance,0.572124915688061
188,ADC,ADC,0.6000000000000001,0.7000000000000001,trace_distance,0.39581829345852043
