chA,chB,pA,pB,d,score
ADC,ADC,0.4,0.30000000000000004,wooters_distance,0.4592890841581932
ADC,ADC,0.4,0.4,trace_distance,0.27475028484000935
ADC,ADC,0.4,0.4,fidelity,0.7809736410799477
ADC,ADC,0.4,0.4,affinity,0.8736301395746263
ADC,ADC,0.4,0.4,wooters_distance,0.48382816628436237
ADC,ADC,0.4,0.5,trace_distance,0.30934525243084815
ADC,ADC,0.4,0.5,fidelity,0.7647669427946795
ADC,ADC,0.4,0.5,affinity,0.8578993561218193
ADC,ADC,0.4,0.5,wooters_distance,0.5002882154970159
ADC,ADC,0.4,0.6000000000000001,trace_distance,0.35176251150000004
ADC,ADC,0.4,0.6000000000000001,fidelity,0.7440788368366807
ADC,ADC,0.4,0.6000000000000001,affinity,0.8361579468973811
ADC,ADC,0.4,0.6000000000000001,wooters_distance,0.5206250807753318
ADC,ADC,0.4,0.7000000000000001,trace_distance,0.3968116104760104
ADC,ADC,0.4,0.7000000000000001,fidelity,0.7151856178110659
ADC,ADC,0.4,0.7000000000000001,affinity,0.8054525343192228
ADC,ADC,0.4,0.7000000000000001,wooters_distance,0.5488282839468531
ADC,ADC,0.4,0.8,trace_distance,0.4369020894123656
ADC,ADC,0.4,0.8,fidelity,0.6953674116352881
ADC,ADC,0.4,0.8,affinity,0.7749654452884541
ADC,ADC,0.4,0.8,wooters_distance,0.5636791108262155
ADC,ADC,0.4,0.9,trace_distance,0.48805155897841973
ADC,ADC,0.4,0.9,fidelity,0.6547996554522061
ADC,ADC,0.4,0.9,affinity,0.7221661725655485
ADC,ADC,0.4,0.9,wooters_distance,0.6001575335378363
ADC,ADC,0.4,1.0,trace_distance,0.5825285484280623
ADC,ADC,0.4,1.0,fidelity,0.5639512739978165
ADC,ADC,0.4,1.0,affinity,0.5639512739978164
ADC,ADC,0.4,1.0,wooters_distance,0.6838387782116574
ADC,ADC,0.5,0.0,trace_distance,0.1879760529586332
ADC,ADC,0.5,0.0,fidelity,0.8194374892568582
ADC,ADC,0.5,0.0,affinity,0.9031575351470177
ADC,ADC,0.5,0.0,wooters_distance,0.4141414306492011
ADC,ADC,0.5,0.1,trace_distance,0.1978249265019404
ADC,ADC,0.5,0.1,fidelity,0.8092519096179694
ADC,ADC,0.5,0.1,affinity,0.8980935519854354
ADC,ADC,0.5,0.1,wooters_distance,0.4469826573403571
ADC,ADC,0.5,0.2,trace_distance,0.21765711310572697
ADC,ADC,0.5,0.2,fidelity,0.8000185672726577
ADC,ADC,0.5,0.2,affinity,0.8919951081330965
ADC,ADC,0.5,0.2,wooters_distance,0.4621706049931262
ADC,ADC,0.5,0.30000000000000004,trace_distance,0.25935933192884186
ADC,ADC,0.5,0.30000000000000004,fidelity,0.7798123044251462
ADC,ADC,0.5,0.30000000000000004,affinity,0.8768320859844576
ADC,ADC,0.5,0.30000000000000004,wooters_distance,0.4875386740851794
ADC,ADC,0.5,0.4,trace_distance,0.2844851660960537
ADC,ADC,0.5,0.4,fidelity,0.7676819808729861
ADC,ADC,0.5,0.4,affinity,0.8665326011330569
ADC,ADC,0.5,0.4,wooters_distance,0.5010775783414224
ADC,ADC,0.5,0.5,trace_distance,0.3234325896384101
ADC,ADC,0.5,0.5,fidelity,0.7418667387259504
ADC,ADC,0.5,0.5,affinity,0.8460890289279869
ADC,ADC,0.5,0.5,wooters_distance,0.5289052043125327
ADC,ADC,0.5,0.6000000000000001,trace_distance,0.35765199634875816
ADC,ADC,0.5,0.6000000000000001,fidelity,0.7310976436521569
ADC,ADC,0.5,0.6000000000000001,affinity,0.8299179410898986
ADC,ADC,0.5,0.6000000000000001,wooters_distance,0.5381562465726081
ADC,ADC,0.5,0.7000000000000001,trace_distance,0.3931912626245146
ADC,ADC,0.5,0.7000000000000001,fidelity,0.7120238464027636
ADC,ADC,0.5,0.7000000000000001,affinity,0.806136564760318
ADC,ADC,0.5,0.7000000000000001,wooters_distance,0.5533133544574111
ADC,ADC,0.5,0.8,trace_distance,0.4398800865353471
ADC,ADC,0.5,0.8,fidelity,0.6909329450910112
ADC,ADC,0.5,0.8,affinity,0.7721671857444488
ADC,ADC,0.5,0.8,wooters_distance,0.5723286520544948
ADC,ADC,0.5,0.9,trace_distance,0.48494302822663743
ADC,ADC,0.5,0.9,fidelity,0.6539477586172472
ADC,ADC,0.5,0.9,affinity,0.7229648214082366
ADC,ADC,0.5,0.9,wooters_distance,0.6001227938437431
ADC,ADC,0.5,1.0,trace_distance,0.5578348501874231
ADC,ADC,0.5,1.0,fidelity,0.5882333794383984
ADC,ADC,0.5,1.0,affinity,0.5882333794383983
ADC,ADC,0.5,1.0,wooters_distance,0.6504956538492606
ADC,ADC,0.6000000000000001,0.0,trace_distance,0.23422104781572714
ADC,ADC,0.6000000000000001,0.0,fidelity,0.7739722342828879
ADC,ADC,0.6000000000000001,0.0,affinity,0.8771992321019043
ADC,ADC,0.6000000000000001,0.0,wooters_distance,0.4745968981714365
ADC,ADC,0.6000000000000001,0.1,trace_distance,0.23893364863119096
ADC,ADC,0.6000000000000001,0.1,fidelity,0.7665377367371433
ADC,ADC,0.6000000000000001,0.1,affinity,0.8738394869093425
ADC,ADC,0.6000000000000001,0.1,wooters_distance,0.4992734206804732
ADC,ADC,0.6000000000000001,0.2,trace_distance,0.2515735887279513
ADC,ADC,0.6000000000000001,0.2,fidelity,0.7629652925524577
ADC,ADC,0.6000000000000001,0.2,affinity,0.8710261280615262
ADC,ADC,0.6000000000000001,0.2,wooters_distance,0.5068675862340098
ADC,ADC,0.6000000000000001,0.30000000000000004,trace_distance,0.2760867429916786
ADC,ADC,0.6000000000000001,0.30000000000000004,fidelity,0.757224032953144
ADC,ADC,0.6000000000000001,0.30000000000000004,affinity,0.8646126268561763
ADC,ADC,0.6000000000000001,0.30000000000000004,wooters_distance,0.5145199458430795
ADC,ADC,0.6000000000000001,0.4,trace_distance,0.30750846127055226
ADC,ADC,0.6000000000000001,0.4,fidelity,0.737590214812224
ADC,ADC,0.6000000000000001,0.4,affinity,0.849626413868885
ADC,ADC,0.6000000000000001,0.4,wooters_distance,0.5367429894089977
ADC,ADC,0.6000000000000001,0.5,trace_distance,0.32641764582596644
ADC,ADC,0.6000000000000001,0.5,fidelity,0.7372474351060406
ADC,ADC,0.6000000000000001,0.5,affinity,0.8437341418918849
ADC,ADC,0.6000000000000001,0.5,wooters_distance,0.5354414032747338
ADC,ADC,0.6000000000000001,0.6000000000000001,trace_distance,0.36745327975497205
ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.714922373059825
ADC,ADC,0.6000000000000001,0.6000000000000001,affinity,0.821029943796531
ADC,ADC,0.6000000000000001,0.6000000000000001,wooters_distance,0.5574939676869651
ADC,ADC,0.6000000000000001,0.7000000000000001,trace_distance,0.3931689059657048
ADC,ADC,0.6000000000000001,0.7000000000000001,fidelity,0.7108613329381744
ADC,ADC,0.6000000000000001,0.7000000000000001,affinity,0.8060841657788295
ADC,ADC,0.6000000000000001,0.7000000000000001,wooters_distance,0.5566338088588245
ADC,ADC,0.6000000000000001,0.8,trace_distance,0.4316982827202556
ADC,ADC,0.6000000000000001,0.8,fidelity,0.6916796151834673
ADC,ADC,0.6000000000000001,0.8,affinity,0.7760946123074274
ADC,ADC,0.6000000000000001,0.8,wooters_distance,0.5725121160190638
ADC,ADC,0.6000000000000001,0.9,trace_distance,0.47488594446851545
ADC,ADC,0.6000000000000001,0.9,fidelity,0.6622327059344434
ADC,ADC,0.6000000000000001,0.9,affinity,0.7296429575188342
ADC,ADC,0.6000000000000001,0.9,wooters_distance,0.5933022249083632
ADC,ADC,0.6000000000000001,1.0,trace_distance,0.5459999348223931
ADC,ADC,0.6000000000000001,1.0,fidelity,0.6008210125274415
ADC,ADC,0.6000000000000001,1.0,affinity,0.6008210125274414
ADC,ADC,0.6000000000000001,1.0,wooters_distance,0.6277181581286561
