chA,chB,pA,pB,d,score
DC,MADC,0.6000000000000001,0.1,wooters_distance,0.8371780569879115
DC,MADC,0.6000000000000001,0.2,trace_distance,0.582737691040105
DC,MADC,0.6000000000000001,0.2,fidelity,0.43836907579601314
DC,MADC,0.6000000000000001,0.2,affinity,0.6466034591030371
DC,MADC,0.6000000000000001,0.2,wooters_distance,0.8488197498366027
DC,MADC,0.6000000000000001,0.30000000000000004,trace_distance,0.5748428766861249
DC,MADC,0.6000000000000001,0.30000000000000004,fidelity,0.45185482799792814
DC,MADC,0.6000000000000001,0.30000000000000004,affinity,0.6523051295858929
DC,MADC,0.6000000000000001,0.30000000000000004,wooters_distance,0.8357740352787932
DC,MADC,0.6000000000000001,0.4,trace_distance,0.5751974876438312
DC,MADC,0.6000000000000001,0.4,fidelity,0.4602743754428504
DC,MADC,0.6000000000000001,0.4,affinity,0.6520657003646447
DC,MADC,0.6000000000000001,0.4,wooters_distance,0.8277617545773364
DC,MADC,0.6000000000000001,0.5,trace_distance,0.5784979183723583
DC,MADC,0.6000000000000001,0.5,fidelity,0.4674373628797281
DC,MADC,0.6000000000000001,0.5,affinity,0.6482796660654236
DC,MADC,0.6000000000000001,0.5,wooters_distance,0.8214493811322258
DC,MADC,0.6000000000000001,0.6000000000000001,trace_distance,0.5873323726928609
DC,MADC,0.6000000000000001,0.6000000000000001,fidelity,0.47715844552953507
DC,MADC,0.6000000000000001,0.6000000000000001,affinity,0.6431379789533004
DC,MADC,0.6000000000000001,0.6000000000000001,wooters_distance,0.811991884808415
DC,MADC,0.6000000000000001,0.7000000000000001,trace_distance,0.601118212785384
DC,MADC,0.6000000000000001,0.7000000000000001,fidelity,0.4837516545500259
DC,MADC,0.6000000000000001,0.7000000000000001,affinity,0.6322817404541581
DC,MADC,0.6000000000000001,0.7000000000000001,wooters_distance,0.8052961911655723
DC,MADC,0.6000000000000001,0.8,trace_distance,0.6194621555985823
DC,MADC,0.6000000000000001,0.8,fidelity,0.4863632655534644
DC,MADC,0.6000000000000001,0.8,affinity,0.6117700566948505
DC,MADC,0.6000000000000001,0.8,wooters_distance,0.8031553283874652
DC,MADC,0.6000000000000001,0.9,trace_distance,0.6406047148425799
DC,MADC,0.6000000000000001,0.9,fidelity,0.4932460664910912
DC,MADC,0.6000000000000001,0.9,affinity,0.5841960622990924
DC,MADC,0.6000000000000001,0.9,wooters_distance,0.7953538332918269
DC,MADC,0.6000000000000001,1.0,trace_distance,0.6654232768515111
DC,MADC,0.6000000000000001,1.0,fidelity,0.49955907138374367
DC,MADC,0.6000000000000001,1.0,affinity,0.5000649109803484
DC,MADC,0.6000000000000001,1.0,wooters_distance,0.785054139536233
DC,MADC,0.7000000000000001,0.0,trace_distance,0.5597965024776438
DC,MADC,0.7000000000000001,0.0,fidelity,0.4531982949460005
DC,MADC,0.7000000000000001,0.0,affinity,0.6647807500203256
DC,MADC,0.7000000000000001,0.0,wooters_distance,0.8327762057742776
DC,MADC,0.7000000000000001,0.1,trace_distance,0.5493603484338513
DC,MADC,0.7000000000000001,0.1,fidelity,0.46357528794708114
DC,MADC,0.7000000000000001,0.1,affinity,0.6722667614333128
DC,MADC,0.7000000000000001,0.1,wooters_distance,0.8223878904056694
DC,MADC,0.7000000000000001,0.2,trace_distance,0.5573903016932643
DC,MADC,0.7000000000000001,0.2,fidelity,0.4583811803702719
DC,MADC,0.7000000000000001,0.2,affinity,0.6663075090255001
DC,MADC,0.7000000000000001,0.2,wooters_distance,0.8279171256388754
DC,MADC,0.7000000000000001,0.30000000000000004,trace_distance,0.5560515657523493
DC,MADC,0.7000000000000001,0.30000000000000004,fidelity,0.46605484145679493
DC,MADC,0.7000000000000001,0.30000000000000004,affinity,0.6675644481295973
DC,MADC,0.7000000000000001,0.30000000000000004,wooters_distance,0.8206139161306821
DC,MADC,0.7000000000000001,0.4,trace_distance,0.5614866455976507
DC,MADC,0.7000000000000001,0.4,fidelity,0.4704945451029352
