,chA,chB,pA,pB,d,score
144,ADC,ADC,0.7000000000000001,0.7000000000000001,trace_distance,0.396380224854097
145,ADC,ADC,0.7000000000000001,0.7000000000000001,fidelity,0.6994222542563993
146,ADC,ADC,0.7000000000000001,0.7000000000000001,affinity,0.8007057194555767
147,ADC,ADC,0.7000000000000001,0.7000000000000001,wooters_distance,0.569783889945703
148,ADC,ADC,0.7000000000000001,0.6000000000000001,trace_distance,0.3706425361774588
149,ADC,ADC,0.7000000000000001,0.6000000000000001,fidelity,0.7070343159197933
150,ADC,ADC,0.7000000000000001,0.6000000000000001,affinity,0.8170897471862147
151,ADC,ADC,0.7000000000000001,0.6000000000000001,wooters_distance,0.5667049624969825
152,ADC,ADC,0.7000000000000001,0.5,trace_distance,0.34197543533695307
153,ADC,ADC,0.7000000000000001,0.5,fidelity,0.7170551484716071
154,ADC,ADC,0.7000000000000001,0.5,affinity,0.8319174133437506
155,ADC,ADC,0.7000000000000001,0.5,wooters_distance,0.5586250637613217
156,ADC,ADC,0.7000000000000001,0.4,trace_distance,0.32303615124595203
157,ADC,ADC,0.7000000000000001,0.4,fidelity,0.7181658144120396
158,ADC,ADC,0.7000000000000001,0.4,affinity,0.8386048534611796
159,ADC,ADC,0.7000000000000001,0.4,wooters_distance,0.5591367245867432
160,ADC,ADC,0.7000000000000001,0.30000000000000004,trace_distance,0.3064113615407351
161,ADC,ADC,0.7000000000000001,0.30000000000000004,fidelity,0.7198954712209593
162,ADC,ADC,0.7000000000000001,0.30000000000000004,affinity,0.8434950261716709
163,ADC,ADC,0.7000000000000001,0.30000000000000004,wooters_distance,0.5576192485798789
164,ADC,ADC,0.7000000000000001,0.2,trace_distance,0.2890324550556254
165,ADC,ADC,0.7000000000000001,0.2,fidelity,0.7246542577248496
166,ADC,ADC,0.7000000000000001,0.2,affinity,0.8486790218373864
167,ADC,ADC,0.7000000000000001,0.2,wooters_distance,0.5515300684661476
168,ADC,ADC,0.7000000000000001,0.1,trace_distance,0.2751655951361469
169,ADC,ADC,0.7000000000000001,0.1,fidelity,0.7284063785314713
170,ADC,ADC,0.7000000000000001,0.1,affinity,0.8518733905575745
171,ADC,ADC,0.7000000000000001,0.1,wooters_distance,0.5444476076938277
172,ADC,ADC,0.7000000000000001,0.0,trace_distance,0.26845264889021087
173,ADC,ADC,0.7000000000000001,0.0,fidelity,0.7330942124586061
